Loss: 123.5569, Primary Loss: 123.5362, Reg Loss: 0.0208
Loss: 128.9044, Primary Loss: 128.8794, Reg Loss: 0.0250
Loss: 133.9232, Primary Loss: 133.8987, Reg Loss: 0.0246
Loss: 121.7547, Primary Loss: 121.7319, Reg Loss: 0.0228
Loss: 129.7840, Primary Loss: 129.7588, Reg Loss: 0.0252
Loss: 134.7818, Primary Loss: 134.7565, Reg Loss: 0.0253
Loss: 99.8669, Primary Loss: 99.8423, Reg Loss: 0.0246
Loss: 118.5281, Primary Loss: 118.5024, Reg Loss: 0.0258
Loss: 126.2906, Primary Loss: 126.2637, Reg Loss: 0.0269
Loss: 125.9982, Primary Loss: 125.9715, Reg Loss: 0.0267
Loss: 129.6534, Primary Loss: 129.6299, Reg Loss: 0.0234
Loss: 126.4059, Primary Loss: 126.3801, Reg Loss: 0.0258
Loss: 103.8968, Primary Loss: 103.8705, Reg Loss: 0.0263
Loss: 112.0129, Primary Loss: 111.9878, Reg Loss: 0.0251
Loss: 97.7378, Primary Loss: 97.7084, Reg Loss: 0.0294
Loss: 114.1195, Primary Loss: 114.0951, Reg Loss: 0.0244
Loss: 117.4427, Primary Loss: 117.4162, Reg Loss: 0.0265
Loss: 127.2584, Primary Loss: 127.2377, Reg Loss: 0.0207
Loss: 121.0199, Primary Loss: 120.9923, Reg Loss: 0.0276
Loss: 107.0267, Primary Loss: 106.9996, Reg Loss: 0.0271
Loss: 85.5973, Primary Loss: 85.5697, Reg Loss: 0.0276
Loss: 110.1334, Primary Loss: 110.1066, Reg Loss: 0.0269
Loss: 118.8513, Primary Loss: 118.8212, Reg Loss: 0.0301
Loss: 117.5315, Primary Loss: 117.5044, Reg Loss: 0.0270
Loss: 124.0158, Primary Loss: 123.9889, Reg Loss: 0.0268
Loss: 130.0850, Primary Loss: 130.0582, Reg Loss: 0.0268
Loss: 114.1327, Primary Loss: 114.1062, Reg Loss: 0.0265
Loss: 138.2169, Primary Loss: 138.1888, Reg Loss: 0.0281
Loss: 132.2121, Primary Loss: 132.1849, Reg Loss: 0.0273
Loss: 120.1269, Primary Loss: 120.0978, Reg Loss: 0.0291
Loss: 128.0858, Primary Loss: 128.0550, Reg Loss: 0.0308
Loss: 115.3962, Primary Loss: 115.3677, Reg Loss: 0.0286
Loss: 112.0081, Primary Loss: 111.9809, Reg Loss: 0.0272
Loss: 113.2719, Primary Loss: 113.2465, Reg Loss: 0.0253
Loss: 88.6524, Primary Loss: 88.6228, Reg Loss: 0.0296
Loss: 105.0241, Primary Loss: 104.9976, Reg Loss: 0.0265
Loss: 100.4023, Primary Loss: 100.3684, Reg Loss: 0.0339
Loss: 105.4696, Primary Loss: 105.4393, Reg Loss: 0.0304
Loss: 97.2518, Primary Loss: 97.2221, Reg Loss: 0.0296
Loss: 110.1472, Primary Loss: 110.1197, Reg Loss: 0.0276
Loss: 141.3770, Primary Loss: 141.3499, Reg Loss: 0.0270
Loss: 108.8447, Primary Loss: 108.8146, Reg Loss: 0.0301
Loss: 118.4315, Primary Loss: 118.4062, Reg Loss: 0.0254
Loss: 106.5083, Primary Loss: 106.4848, Reg Loss: 0.0234
Loss: 110.0258, Primary Loss: 109.9999, Reg Loss: 0.0259
Loss: 116.0943, Primary Loss: 116.0647, Reg Loss: 0.0297
Loss: 129.8331, Primary Loss: 129.8072, Reg Loss: 0.0258
Loss: 116.9174, Primary Loss: 116.8857, Reg Loss: 0.0317
Loss: 112.0112, Primary Loss: 111.9820, Reg Loss: 0.0293
Loss: 116.8405, Primary Loss: 116.8113, Reg Loss: 0.0292
Loss: 129.3860, Primary Loss: 129.3529, Reg Loss: 0.0331
Loss: 125.3224, Primary Loss: 125.2908, Reg Loss: 0.0316
Loss: 108.1515, Primary Loss: 108.1232, Reg Loss: 0.0284
Loss: 101.5464, Primary Loss: 101.5221, Reg Loss: 0.0244
Loss: 102.9651, Primary Loss: 102.9422, Reg Loss: 0.0229
Loss: 113.1814, Primary Loss: 113.1500, Reg Loss: 0.0313
Loss: 105.8687, Primary Loss: 105.8343, Reg Loss: 0.0343
Loss: 131.6360, Primary Loss: 131.6090, Reg Loss: 0.0270
Loss: 104.0849, Primary Loss: 104.0509, Reg Loss: 0.0341
Loss: 129.3246, Primary Loss: 129.2982, Reg Loss: 0.0264
Loss: 117.6788, Primary Loss: 117.6508, Reg Loss: 0.0280
Loss: 115.2462, Primary Loss: 115.2138, Reg Loss: 0.0325
Loss: 123.3838, Primary Loss: 123.3496, Reg Loss: 0.0342
Loss: 105.5345, Primary Loss: 105.5009, Reg Loss: 0.0336
Loss: 91.6119, Primary Loss: 91.5821, Reg Loss: 0.0298
Loss: 107.7599, Primary Loss: 107.7353, Reg Loss: 0.0247
Loss: 105.8747, Primary Loss: 105.8470, Reg Loss: 0.0277
Loss: 100.1088, Primary Loss: 100.0812, Reg Loss: 0.0276
Loss: 99.5426, Primary Loss: 99.5110, Reg Loss: 0.0316
Loss: 111.8438, Primary Loss: 111.8098, Reg Loss: 0.0340
Loss: 124.1505, Primary Loss: 124.1162, Reg Loss: 0.0342
Loss: 109.3479, Primary Loss: 109.3195, Reg Loss: 0.0285
Loss: 117.5665, Primary Loss: 117.5331, Reg Loss: 0.0334
Loss: 92.8354, Primary Loss: 92.8030, Reg Loss: 0.0324
Loss: 119.2143, Primary Loss: 119.1815, Reg Loss: 0.0327
Loss: 106.0584, Primary Loss: 106.0271, Reg Loss: 0.0313
Loss: 96.7350, Primary Loss: 96.7019, Reg Loss: 0.0330
Loss: 110.3699, Primary Loss: 110.3374, Reg Loss: 0.0325
